rat,operator,env,mean_quality,median_quality,std_quality,file_count
5G,Iliad/Wind,inside,0.39958572669418607,0.40017803772697547,0.06131628096904613,16
5G,Iliad/Wind,outdoor_driving,0.4562409055088439,0.4447856406844215,0.028921842754964993,11
5G,TIM/Vodafone,inside,0.39224890894827613,0.38087948055967746,0.05910842058078988,61
5G,TIM/Vodafone,outdoor_driving,0.4374519281016118,0.4293045268198686,0.05571466527934521,39
5G,TIM/Vodafone,outside_walking,0.41510253356270915,0.41510253356270915,0.018071852189251295,2
