rat,env,mean_quality,median_quality,std_quality,file_count
5G,inside,0.39377344250586777,0.3836363833873176,0.059239246904295245,77
5G,outdoor_driving,0.44158550313120287,0.43243754964497433,0.051379023628617244,50
5G,outside_walking,0.41510253356270915,0.41510253356270915,0.018071852189251295,2
