rat,operator,speed_bucket,file,mean,median,std,count
5G,Iliad/Wind,od_slow,5G/location_7_od_interactivity_egaming_it_iw_tti_0.csv,0.481574135204059,0.46915229750973164,0.160096071350684,1220
5G,Iliad/Wind,od_slow,5G/location_7_od_interactivity_egaming_se_iw_tti_0.csv,0.4418322024078757,0.4227302415702727,0.15015491085828853,2364
5G,Iliad/Wind,od_slow,5G/location_7_od_interactivity_egaming_se_tti_0.csv,0.4849070924070285,0.47671033334985846,0.16359974166851032,3300
5G,Iliad/Wind,od_slow,5G/location_7_od_interactivity_egaming_se_tti_1.csv,0.5260748607337923,0.5169756172043107,0.17032839974360567,1944
5G,Iliad/Wind,od_slow,5G/location_9_od_interactivity_egaming_ch_iw_tti_0.csv,0.46812563714579575,0.4615932290700011,0.15915462346111814,2129
5G,Iliad/Wind,od_slow,5G/location_9_od_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.46868339968878875,0.443355431781764,0.19314361836374605,3280
5G,Iliad/Wind,od_slow,5G/location_9_od_interactivity_egaming_it_iw_tti_0.csv,0.46291691714919714,0.45953181368616447,0.17601461447045613,2306
5G,Iliad/Wind,od_slow,5G/location_9_od_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.4644704429162929,0.45449357098703613,0.17326899106634977,2312
5G,Iliad/Wind,od_slow,5G/location_9_od_interactivity_egaming_se_iw_tti_0.csv,0.4476480324783558,0.43063560042296456,0.18035554580676216,1844
5G,Iliad/Wind,od_slow,5G/location_9_od_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.4783525353764236,0.47785524403444213,0.17363150852491924,2346
5G,TIM/Vodafone,inside,5G/location_11_is_interactivity_egaming_ch_tv_tti_1.csv,0.4628482393655563,0.44289798983137696,0.18563935577549448,21192
5G,TIM/Vodafone,inside,5G/location_11_is_interactivity_egaming_ch_tv_tti_2.csv,0.4762474326520896,0.46647988905558635,0.18140909398318764,22476
5G,TIM/Vodafone,inside,5G/location_11_is_interactivity_egaming_ch_tv_tti_3.csv,0.478231800873872,0.4751836611127831,0.18287794121825157,25772
