operator,speed_bucket,mean_quality,median_quality,std_quality,file_count
Iliad/Wind,inside,0.39958572669418607,0.40017803772697547,0.06131628096904613,16
Iliad/Wind,od_quasi_static,0.4538317633878433,0.45778147372466443,0.013329996639213505,11
Iliad/Wind,od_slow,0.47313078371800954,0.46868339968878875,0.022223037166876614,11
Iliad/Wind,od_fast,0.46499365921419267,0.44385524904535734,0.04587100222899788,11
TIM/Vodafone,inside,0.39224890894827613,0.38087948055967746,0.05910842058078988,61
TIM/Vodafone,od_quasi_static,0.4636352500131595,0.4655119008633456,0.0363232789639773,39
TIM/Vodafone,od_slow,0.4488376689381038,0.4591874309164262,0.060881766470164286,39
TIM/Vodafone,od_fast,0.4389014708372051,0.4182117805000328,0.07086039369590558,39
TIM/Vodafone,outside_walking,0.41510253356270915,0.41510253356270915,0.018071852189251295,2
