row,col,z
18,30,11
20,17,13
20,18,13
19,17,11
19,18,11
19,19,11
19,20,11
19,21,11
19,22,11
19,23,11
19,24,11
19,25,11
19,26,11
19,27,11
19,28,11
19,29,11
19,30,13
20,19,12
20,20,12
20,21,12
20,22,12
20,23,12
20,24,12
20,25,12
20,26,12
20,27,12
20,28,12
20,29,12
12,12,12
12,13,13
12,13,14
12,14,13
12,15,13
12,16,13
12,17,13
12,18,13
12,19,13
12,20,13
12,21,13
12,22,13
12,23,13
12,24,13
12,25,13
12,26,13
12,27,13
12,28,13
12,29,13
13,11,12
14,11,13
14,11,14
15,11,13
16,11,13
17,11,13
18,11,13
13,12,11
14,13,11
14,14,11
15,13,11
14,15,11
16,13,11
14,16,11
17,13,11
14,17,11
18,13,11
14,18,11
14,19,11
14,20,11
14,21,11
14,22,11
14,23,11
14,24,11
14,25,11
14,26,11
14,27,11
14,28,11
14,29,11
12,12,13
12,13,12
13,11,13
14,11,12
13,13,11
14,12,11
12,12,14
12,14,12
13,11,14
15,11,12
13,14,11
15,12,11
12,15,12
16,11,12
13,15,11
16,12,11
12,16,12
17,11,12
13,16,11
17,12,11
12,17,12
18,11,12
13,17,11
18,12,11
12,18,12
13,18,11
12,19,12
13,19,11
12,20,12
13,20,11
12,21,12
13,21,11
12,22,12
13,22,11
12,23,12
13,23,11
12,24,12
13,24,11
12,25,12
13,25,11
12,26,12
13,26,11
12,27,12
13,27,11
12,28,12
13,28,11
12,29,12
13,29,11
19,13,13
14,30,13
11,28,14
11,29,14
13,30,14
15,28,10
16,29,10
15,29,10
15,30,12
16,28,10
19,12,14
19,14,12
11,14,14
11,15,14
11,16,14
11,17,14
11,18,14
11,19,14
11,20,14
11,21,14
11,22,14
11,23,14
11,24,14
11,25,14
11,26,14
11,27,14
15,10,14
16,10,14
17,10,14
18,10,14
15,14,10
16,15,10
16,16,10
17,15,10
16,17,10
18,15,10
16,18,10
16,19,10
16,20,10
16,21,10
16,22,10
16,23,10
16,24,10
16,25,10
16,26,10
16,27,10
15,15,10
16,14,10
15,16,10
17,14,10
15,17,10
18,14,10
15,18,10
15,19,10
15,20,10
15,21,10
15,22,10
15,23,10
15,24,10
15,25,10
15,26,10
15,27,10
20,15,14
17,30,11
17,27,9
18,28,9
18,29,9
17,28,9
18,27,9
17,29,9
20,16,13
19,16,11
17,16,9
18,17,9
18,18,9
18,19,9
18,20,9
18,21,9
18,22,9
18,23,9
18,24,9
18,25,9
18,26,9
17,17,9
18,16,9
17,18,9
17,19,9
17,20,9
17,21,9
17,22,9
17,23,9
17,24,9
17,25,9
17,26,9
19,29,10
19,25,10
19,26,10
19,27,10
19,28,10
19,30,12
20,18,12
19,18,10
19,19,10
19,20,10
19,21,10
19,22,10
19,23,10
19,24,10
12,11,12
12,12,11
13,11,11
12,11,13
12,13,11
14,11,11
12,11,14
12,14,11
15,11,11
12,15,11
16,11,11
12,16,11
17,11,11
12,17,11
18,11,11
12,18,11
12,19,11
12,20,11
12,21,11
12,22,11
12,23,11
12,24,11
12,25,11
12,26,11
12,27,11
12,28,11
12,29,11
13,30,13
14,30,12
11,27,13
14,27,10
11,28,13
14,28,10
11,29,13
14,29,10
19,12,13
19,13,12
11,13,13
14,10,13
14,13,10
11,13,14
11,14,13
14,10,14
15,10,13
14,14,10
15,13,10
11,15,13
16,10,13
14,15,10
16,13,10
11,16,13
17,10,13
14,16,10
17,13,10
11,17,13
18,10,13
14,17,10
18,13,10
11,18,13
14,18,10
11,19,13
14,19,10
11,20,13
14,20,10
11,21,13
14,21,10
11,22,13
14,22,10
11,23,13
14,23,10
11,24,13
14,24,10
11,25,13
14,25,10
11,26,13
14,26,10
20,14,14
12,30,14
15,30,11
16,30,11
19,11,14
19,14,11
19,15,11
16,29,9
16,26,9
16,27,9
16,28,9
20,15,13
16,15,9
16,16,9
17,15,9
16,17,9
18,15,9
16,18,9
16,19,9
16,20,9
16,21,9
16,22,9
16,23,9
16,24,9
16,25,9
17,30,10
18,30,10
20,16,12
20,17,12
19,16,10
19,17,10
18,28,8
18,29,8
18,24,8
18,25,8
18,26,8
18,27,8
18,17,8
18,18,8
18,19,8
18,20,8
18,21,8
18,22,8
18,23,8
19,29,9
20,25,11
20,26,11
20,27,11
20,28,11
20,29,11
19,26,9
19,27,9
19,28,9
20,18,11
20,19,11
20,20,11
20,21,11
20,22,11
20,23,11
20,24,11
19,18,9
19,19,9
19,20,9
19,21,9
19,22,9
19,23,9
19,24,9
19,25,9
11,11,11
11,12,12
11,12,13
11,13,12
11,12,14
11,14,12
11,15,12
11,16,12
11,17,12
11,18,12
11,19,12
11,20,12
11,21,12
11,22,12
11,23,12
11,24,12
11,25,12
11,26,12
11,27,12
11,28,12
11,29,12
12,10,11
13,10,12
13,10,13
14,10,12
13,10,14
15,10,12
16,10,12
17,10,12
18,10,12
12,11,10
13,12,10
13,13,10
14,12,10
13,14,10
15,12,10
13,15,10
16,12,10
13,16,10
17,12,10
13,17,10
18,12,10
13,18,10
13,19,10
13,20,10
13,21,10
13,22,10
13,23,10
13,24,10
13,25,10
13,26,10
13,27,10
13,28,10
13,29,10
11,11,12
11,12,11
12,10,12
13,10,11
12,12,10
13,11,10
11,11,13
11,13,11
12,10,13
14,10,11
12,13,10
14,11,10
11,11,14
11,14,11
12,10,14
15,10,11
12,14,10
15,11,10
11,15,11
16,10,11
12,15,10
16,11,10
11,16,11
17,10,11
12,16,10
17,11,10
11,17,11
18,10,11
12,17,10
18,11,10
11,18,11
12,18,10
11,19,11
12,19,10
11,20,11
12,20,10
11,21,11
12,21,10
11,22,11
12,22,10
11,23,11
12,23,10
11,24,11
12,24,10
11,25,11
12,25,10
11,26,11
12,26,10
11,27,11
12,27,10
11,28,11
12,28,10
11,29,11
12,29,10
19,12,12
13,30,12
12,30,13
19,11,13
19,13,11
14,30,11
10,13,13
10,14,14
10,15,14
10,16,14
10,17,14
10,18,14
10,19,14
10,20,14
10,21,14
10,22,14
10,23,14
10,24,14
10,25,14
10,26,14
10,27,14
10,28,14
10,29,14
10,13,14
10,14,13
10,15,13
10,16,13
10,17,13
10,18,13
10,19,13
10,20,13
10,21,13
10,22,13
10,23,13
10,24,13
10,25,13
10,26,13
10,27,13
10,28,13
10,29,13
14,9,13
15,9,14
16,9,14
17,9,14
18,9,14
14,9,14
15,9,13
16,9,13
17,9,13
18,9,13
14,13,9
15,14,9
15,15,9
16,14,9
15,16,9
17,14,9
15,17,9
18,14,9
15,18,9
15,19,9
15,20,9
15,21,9
15,22,9
15,23,9
15,24,9
15,25,9
15,26,9
15,27,9
15,28,9
15,29,9
14,14,9
15,13,9
14,15,9
16,13,9
14,16,9
17,13,9
14,17,9
18,13,9
14,18,9
14,19,9
14,20,9
14,21,9
14,22,9
14,23,9
14,24,9
14,25,9
14,26,9
14,27,9
14,28,9
14,29,9
20,13,14
20,14,13
16,30,10
20,15,12
19,15,10
16,15,8
17,16,8
17,17,8
18,16,8
17,18,8
17,19,8
17,20,8
17,21,8
17,22,8
17,23,8
17,24,8
17,25,8
17,26,8
17,27,8
17,28,8
17,29,8
16,16,8
17,15,8
16,17,8
18,15,8
16,18,8
16,19,8
16,20,8
16,21,8
16,22,8
16,23,8
16,24,8
16,25,8
16,26,8
16,27,8
16,28,8
16,29,8
19,30,11
